# id	name	description	rgb
20001	Gremlin		A9E89C
20002	Rabbit		A9E89C
20003	Goblin		A9E89C
20004	Imp		A9E89C
20005	Imp Elder		A9E89C
20006	Orc Archer		A9E89C
20007	Green Fungus		A9E89C
20008	Felim Lizardman		A9E89C
20009	Vuku Orc		A9E89C
20010	Felim Lizardman Scout		A9E89C
20011	Vuku Orc Archer		A9E89C
20012	Gora Werewolf		A9E89C
20013	Dryad		A9E89C
20014	Felim Lizardman Warrior		A9E89C
20015	Marsh Zombie		A9E89C
20016	Stone Golem		A9E89C
20017	Vuku Orc Fighter		A9E89C
20018	Carnivorous Fungus		A9E89C
20019	Dryad Elder		A9E89C
20020	Marsh Zombie Lord		A9E89C
20021	Red Bear		A9E89C
20022	Misery Skeleton		A9E89C
20023	Shadow Beast		A9E89C
20024	Langk Lizardman Warrior		A9E89C
20025	Lesser Dark Horror		A9E89C
20026	Ruin Zombie		A9E89C
20027	Langk Lizardman Scout		A9E89C
20028	Pincher		A9E89C
20029	Ruin Zombie Leader		A9E89C
20030	Langk Lizardman		A9E89C
20031	Omen Beast		A9E89C
20032	Pinrul		A9E89C
20033	Shade Horror		A9E89C
20034	Prowler		A9E89C
20035	Tracker Skeleton		A9E89C
20036	Lirein		A9E89C
20037	Mana Seeker		A9E89C
20038	Venomous Spider		A9E89C
20039	Scavenger Wererat		A9E89C
20040	Sukar Wererat		A9E89C
20041	Tainted Zombie		A9E89C
20042	Tracker Skeleton Leader		A9E89C
20043	Arachnid Tracker		A9E89C
20044	Lirein Elder		A9E89C
20045	Skeleton Scout		A9E89C
20046	Stink Zombie		A9E89C
20047	Sukar Wererat Leader		A9E89C
20048	Lesser Succubus		A9E89C
20049	Lycanthrope		A9E89C
20050	Arachnid Predator		A9E89C
20051	Skeleton Bowman		A9E89C
20052	Lesser Succubus Turen		A9E89C
20053	Ol Mahum Patrol		A9E89C
20054	Ruin Spartoi		A9E89C
20055	Wandering Eye		A9E89C
20056	Dre Vanul Disposer		A9E89C
20057	Lesser Succubus Tilfo		A9E89C
20058	Ol Mahum Guard		A9E89C
20059	Hungry Eye		A9E89C
20060	Raging Spartoi		A9E89C
20061	Ol Mahum Straggler		A9E89C
20062	Tumran Bugbear		A9E89C
20063	Ol Mahum Shooter		A9E89C
20064	Tumran Bugbear Warrior		A9E89C
20065	Ol Mahum Patrolman		A9E89C
20066	Ol Mahum Captain		A9E89C
20067	Monster Eye Watcher		A9E89C
20068	Monster Eye Destroyer		A9E89C
20069	Selu Lizardman Scout		A9E89C
20070	Lesser Basilisk		A9E89C
20071	Selu Lizardman Warrior		A9E89C
20072	Basilisk		A9E89C
20073	Ol Mahum Legionnaire		A9E89C
20074	Androscorpio		A9E89C
20075	Ant Larva		A9E89C
20076	Ol Mahum Commander		A9E89C
20077	Androscorpio Hunter		A9E89C
20078	Whispering Wind		A9E89C
20079	Ant		A9E89C
20080	Ant Captain		A9E89C
20081	Ant Overseer		A9E89C
20082	Ant Recruit		A9E89C
20083	Granite Golem		A9E89C
20084	Ant Patrol		A9E89C
20085	Puncher		A9E89C
20086	Ant Guard		A9E89C
20087	Ant Soldier		A9E89C
20088	Ant Warrior Captain		A9E89C
20089	Noble Ant		A9E89C
20090	Noble Ant Leader		A9E89C
20091	Young Fox		A9E89C
20092	Monster Eye		A9E89C
20093	Orc Fighter		A9E89C
20094	Orc Marksman		A9E89C
20095	Vampire Bat		A9E89C
20096	Orc Lieutenant		A9E89C
20097	Drill Bat		A9E89C
20098	Orc Fighter Leader		A9E89C
20099	Skeleton		A9E89C
20100	Skeleton Archer		A9E89C
20101	Crasher		A9E89C
20102	Skeleton Marksman		A9E89C
20103	Giant Spider		A9E89C
20104	Skeleton Lord		A9E89C
20105	Dark Horror		A9E89C
20106	Talon Spider		A9E89C
20107	Wererat		A9E89C
20108	Blade Spider		A9E89C
20109	Salamander		A9E89C
20110	Undine		A9E89C
20111	Wererat Leader		A9E89C
20112	Salamander Elder		A9E89C
20113	Undine Elder		A9E89C
20114	Salamander Noble		A9E89C
20115	Undine Noble		A9E89C
20116	Fox		A9E89C
20117	Dre Vanul		A9E89C
20118	Dre Vanul Scout		A9E89C
20119	Elder Fox		A9E89C
20120	Wolf		A9E89C
20121	Giant Toad		A9E89C
20130	Orc		A9E89C
20131	Orc Grunt		A9E89C
20132	Werewolf		A9E89C
20133	Bugbear		A9E89C
20134	Cave Maiden		A9E89C
20135	Alligator		A9E89C
20136	Death Knight		A9E89C
20137	Drake		A9E89C
